LOOKUP_ID,LOOKUP_NAME,PARENT_ID,TYPE_ID,type_name
515862,MIZUHO CORPORATE BANK LTD,0,29,BANK NAME
515863,MUMBAI DISTRICT CENTRAL CO OP BANK LTD,0,29,BANK NAME
515864,NEW  INDIA CO OPERATIVE  BANK  LTD,0,29,BANK NAME
515865,OMAN INTERNATIONAL BANK SAOG,0,29,BANK NAME
515866,RATNAKAR BANK LIMITED,0,29,BANK NAME
515867,SOCIETE GENERALE,0,29,BANK NAME
515868,SOLAPUR JANATA SAHKARI BANK LTDSOLAPUR,0,29,BANK NAME
515869,STATE BANK OF MAURITIUS LTD,0,29,BANK NAME
515870,THANE DISTRICT CENTRAL CO OP BANK LTD,0,29,BANK NAME
515871,THE AP MAHESH CO OP URBAN BANK LTD,0,29,BANK NAME
515872,THE AHMEDABAD MERCANTILE CO OPERATIVE BANK LTD,0,29,BANK NAME
515873,THE BANK OF NOVA SCOTIA,0,29,BANK NAME
515874,THE BHARAT CO OPERATIVE BANK (MUMBAI) LTD,0,29,BANK NAME
515875,THE FEDERAL BANK LTD,0,29,BANK NAME
515876,THE GREATER BOMBAY CO OP BANK LTD,0,29,BANK NAME
515877,THE JAMMU AND KASHMIR BANK LTD,0,29,BANK NAME
515878,THE KALUPUR COMMERCIAL CO OP BANK LTD,0,29,BANK NAME
515879,"THE KARNATAKA STATE CO OPERATIVE APEX BANK LTD, BANGALORE",0,29,BANK NAME
515880,THE LAKSHMI VILAS BANK LTD,0,29,BANK NAME
515881,THE NASIK MERCHANTS CO OP BANK LTD,0,29,BANK NAME
515882,THE RATNAKAR BANK LTD,0,29,BANK NAME
515883,THE ROYAL BANK OF SCOTLAND NV,0,29,BANK NAME
515884,THE SEVA VIKAS CO OPERATIVE BANK LTD  (SVB),0,29,BANK NAME
515885,THE SURAT DISTRICT CO OPERATIVE BANK LTD,0,29,BANK NAME
515886,THE SUTEX CO OP BANK LTD,0,29,BANK NAME
515887,THE THANE JANATA SAHAKARI BANK LTD,0,29,BANK NAME
515888,THE VARACHHA CO OP BANK LTD,0,29,BANK NAME
515889,UNITED OVERSEAS BANK,0,29,BANK NAME
515890,YES BANK LTD,0,29,BANK NAME
515891,ZILA SAHAKARI BANK LTD,0,29,BANK NAME
515892,Jijamata Mahila Sahkari Bank Ltd,0,29,BANK NAME
515893,Shrimant Malojiraje Sahakari Bank Ltd,0,29,BANK NAME
515894,NAVI MUMBAI CO OP BANK LTD,0,29,BANK NAME
515895,Pimpri Chinchwad Sahakari Bank Maryadit Pimpri bank,0,29,BANK NAME
515896,THE ABHINAV SAHAKARI BANK LTD,0,29,BANK NAME
515897,DELHI NAGRIK SEHKARI BANK LIMITED,0,29,BANK NAME
515898,THE FAIZ MERCANTILE COOP BANK LTD,0,29,BANK NAME
515899,VIDARBHA KONKAN GRAMIN BANK,0,29,BANK NAME
515900,THE SHIRPUR PEOPLES CO OP LTD,0,29,BANK NAME
515902,NAGAR VIKAS SAHKARI BANK,0,29,BANK NAME
515903,PARSHWANATH CO OP BANK LTD,0,29,BANK NAME
515904,ETAWAH ZILA SAHKARI BANK LIMITED,0,29,BANK NAME
515905,DISTRICT CO OP BANK LTD,0,29,BANK NAME
515906,CITIZEN CO OPERATIVE BANK LTD,0,29,BANK NAME
515907,MAHAMEDHA URBAN CO OPERATIVE BANK LTD,0,29,BANK NAME
515908,RANI LAXMIBAI KSHETRIYA GRAMIN BANK,0,29,BANK NAME
515909,UTTER PRADESH CO OPERATIVE BANK LTD,0,29,BANK NAME
515774,PEOPLES CO OPERATIVE BANK LTD,0,29,BANK NAME
515775,Cosmos Co Op Bank Ltd Bank,0,29,BANK NAME
515776,Cosmos Co Op Bank Ltd,0,29,BANK NAME
515777,HDFC BANK LTD,0,29,BANK NAME
515778,SANMITRA URBAN CO OP BANK LTD,0,29,BANK NAME
515779,ABHINANDAN URBAN CO OP BANK LTD,0,29,BANK NAME
515780,VIDHARBHA KONKAN GRAMIN BANK,0,29,BANK NAME
515781,SHREE PARSWANATH CO OPERATIVE BANK LTD,0,29,BANK NAME
515782,THE SAHEBRAO DESHMUKH CO OP BANK LTD,0,29,BANK NAME
515783,PUNJAB GRAMIN BANK,0,29,BANK NAME
515784,THE NATIONAL CO OP BANK LTD,0,29,BANK NAME
515785,THE DELHI STATE CO OPERATIVE BANK LTD,0,29,BANK NAME
515786,INDRAPRASTHA SEHKARI BANK LTD,0,29,BANK NAME
515787,VIDHARBHA KSHETRIYA GRAMIN BANK,0,29,BANK NAME
515788,THE KONARK URBAN CO OP  BANK LTD,0,29,BANK NAME
515789,PILIBHIT JILA SEHKARI BANK LTD,0,29,BANK NAME
515790,BARODA PASHCHIMI UTTAR PRADESH GRAMIN BANK,0,29,BANK NAME
515791,THE WAI URBAN CO OP BANK LTD,0,29,BANK NAME
515792,YOUTH DEVELOPMENT CO OP BANK LTD,0,29,BANK NAME
515794,THE SATARA SAHAKARI BANK LTD,0,29,BANK NAME
515795,UTTARBANGA KSHETRIYA GRAMIN BANK,0,29,BANK NAME
515800,Barabanki Gramin Bank,0,29,BANK NAME
515801,THE KAIRA DISTRICT CENTRAL CO OP BANK LTD,0,29,BANK NAME
515802,THE JAMNAGAR DISTRICT CO OP BANK LTD,0,29,BANK NAME
515803,pune Urban Co Operative Bank Ltd,0,29,BANK NAME
515804,THE WASHIM URBAN CO OPERATIVE BANK LTD,0,29,BANK NAME
515805,RAJDHANI NAGAR SAHKARI BANK LIMITED,0,29,BANK NAME
515806,The Kheralu Nagarik Sahakari Bank Ltd,0,29,BANK NAME
515807,Malwa Gramin Bank,0,29,BANK NAME
515808,SHRI VEERSHAIV CO OP BANK LTD,0,29,BANK NAME
515809,KANPUR KSHESTRIYA GRAMIN BANK,0,29,BANK NAME
515810,THE INCOME TAX DEPARTMENT CO OP BANK LTD,0,29,BANK NAME
